episode,sarsa_run_1,sarsa_run_2,sarsa_run_3,sarsa_run_4,sarsa_run_5,sarsa_run_6,sarsa_run_7,sarsa_run_8,sarsa_run_9,sarsa_run_10
50,-65.000000,-33.000000,-43.000000,-41.000000,-451.000000,-40.000000,-23.000000,-75.000000,-33.000000,-61.000000
51,-80.000000,-51.000000,-55.000000,-77.000000,-68.000000,-70.000000,-49.000000,-212.000000,-187.000000,-69.000000
52,-52.000000,-33.000000,-45.000000,-42.000000,-45.000000,-55.000000,-155.000000,-23.000000,-54.000000,-59.000000
53,-54.000000,-73.000000,-34.000000,-56.000000,-51.000000,-37.000000,-72.000000,-48.000000,-43.000000,-283.000000
54,-48.000000,-69.000000,-162.000000,-59.000000,-147.000000,-168.000000,-41.000000,-163.000000,-57.000000,-27.000000
55,-311.000000,-23.000000,-82.000000,-51.000000,-40.000000,-65.000000,-185.000000,-72.000000,-68.000000,-199.000000
56,-52.000000,-57.000000,-132.000000,-60.000000,-71.000000,-45.000000,-399.000000,-135.000000,-68.000000,-59.000000
57,-62.000000,-191.000000,-35.000000,-45.000000,-29.000000,-55.000000,-43.000000,-41.000000,-126.000000,-71.000000
58,-207.000000,-57.000000,-199.000000,-41.000000,-48.000000,-147.000000,-217.000000,-47.000000,-148.000000,-37.000000
59,-37.000000,-58.000000,-39.000000,-29.000000,-38.000000,-187.000000,-57.000000,-64.000000,-39.000000,-65.000000
60,-43.000000,-65.000000,-55.000000,-455.000000,-169.000000,-72.000000,-44.000000,-183.000000,-43.000000,-44.000000
61,-192.000000,-47.000000,-61.000000,-36.000000,-58.000000,-125.000000,-83.000000,-39.000000,-61.000000,-43.000000
62,-61.000000,-44.000000,-32.000000,-55.000000,-25.000000,-33.000000,-38.000000,-51.000000,-63.000000,-28.000000
63,-53.000000,-67.000000,-59.000000,-25.000000,-39.000000,-55.000000,-43.000000,-236.000000,-162.000000,-37.000000
64,-50.000000,-51.000000,-43.000000,-39.000000,-53.000000,-65.000000,-74.000000,-41.000000,-34.000000,-52.000000
65,-56.000000,-49.000000,-47.000000,-49.000000,-25.000000,-57.000000,-187.000000,-150.000000,-42.000000,-29.000000
66,-39.000000,-63.000000,-47.000000,-70.000000,-25.000000,-27.000000,-138.000000,-63.000000,-45.000000,-77.000000
67,-82.000000,-56.000000,-35.000000,-66.000000,-54.000000,-42.000000,-52.000000,-51.000000,-38.000000,-64.000000
68,-19.000000,-125.000000,-39.000000,-33.000000,-46.000000,-41.000000,-22.000000,-58.000000,-51.000000,-37.000000
69,-29.000000,-158.000000,-30.000000,-33.000000,-33.000000,-54.000000,-48.000000,-30.000000,-64.000000,-177.000000
70,-69.000000,-147.000000,-205.000000,-55.000000,-44.000000,-27.000000,-303.000000,-34.000000,-86.000000,-153.000000
71,-35.000000,-142.000000,-51.000000,-47.000000,-164.000000,-47.000000,-47.000000,-42.000000,-34.000000,-39.000000
72,-19.000000,-53.000000,-144.000000,-51.000000,-40.000000,-37.000000,-43.000000,-50.000000,-39.000000,-137.000000
73,-52.000000,-35.000000,-34.000000,-167.000000,-29.000000,-176.000000,-52.000000,-27.000000,-57.000000,-180.000000
74,-46.000000,-157.000000,-50.000000,-191.000000,-26.000000,-33.000000,-25.000000,-72.000000,-33.000000,-144.000000
75,-45.000000,-176.000000,-21.000000,-55.000000,-33.000000,-43.000000,-66.000000,-45.000000,-141.000000,-45.000000
76,-35.000000,-38.000000,-56.000000,-508.000000,-58.000000,-37.000000,-49.000000,-49.000000,-46.000000,-48.000000
77,-79.000000,-35.000000,-315.000000,-58.000000,-153.000000,-23.000000,-53.000000,-49.000000,-304.000000,-148.000000
78,-164.000000,-65.000000,-167.000000,-45.000000,-33.000000,-38.000000,-142.000000,-291.000000,-29.000000,-43.000000
79,-45.000000,-43.000000,-38.000000,-34.000000,-27.000000,-48.000000,-23.000000,-183.000000,-35.000000,-45.000000
80,-33.000000,-141.000000,-174.000000,-53.000000,-38.000000,-27.000000,-50.000000,-39.000000,-20.000000,-48.000000
81,-37.000000,-41.000000,-30.000000,-49.000000,-21.000000,-52.000000,-46.000000,-51.000000,-160.000000,-168.000000
82,-53.000000,-149.000000,-42.000000,-43.000000,-41.000000,-30.000000,-39.000000,-41.000000,-44.000000,-48.000000
83,-37.000000,-48.000000,-29.000000,-151.000000,-31.000000,-29.000000,-34.000000,-51.000000,-32.000000,-43.000000
84,-33.000000,-54.000000,-30.000000,-43.000000,-177.000000,-142.000000,-43.000000,-27.000000,-27.000000,-39.000000
85,-55.000000,-31.000000,-39.000000,-42.000000,-40.000000,-161.000000,-47.000000,-39.000000,-29.000000,-72.000000
86,-33.000000,-47.000000,-38.000000,-64.000000,-50.000000,-31.000000,-37.000000,-18.000000,-56.000000,-161.000000
87,-37.000000,-72.000000,-32.000000,-31.000000,-45.000000,-26.000000,-32.000000,-49.000000,-27.000000,-27.000000
88,-48.000000,-50.000000,-25.000000,-38.000000,-32.000000,-29.000000,-57.000000,-28.000000,-44.000000,-174.000000
89,-25.000000,-318.000000,-45.000000,-26.000000,-145.000000,-29.000000,-31.000000,-163.000000,-154.000000,-60.000000
90,-56.000000,-31.000000,-31.000000,-70.000000,-41.000000,-64.000000,-135.000000,-33.000000,-35.000000,-35.000000
91,-43.000000,-33.000000,-52.000000,-36.000000,-34.000000,-23.000000,-50.000000,-30.000000,-25.000000,-21.000000
92,-40.000000,-39.000000,-35.000000,-52.000000,-88.000000,-51.000000,-43.000000,-141.000000,-33.000000,-59.000000
93,-23.000000,-27.000000,-29.000000,-50.000000,-139.000000,-37.000000,-29.000000,-35.000000,-39.000000,-41.000000
94,-55.000000,-53.000000,-43.000000,-261.000000,-69.000000,-23.000000,-24.000000,-27.000000,-28.000000,-41.000000
95,-32.000000,-33.000000,-150.000000,-150.000000,-53.000000,-23.000000,-39.000000,-34.000000,-23.000000,-33.000000
96,-35.000000,-25.000000,-34.000000,-45.000000,-33.000000,-147.000000,-31.000000,-40.000000,-35.000000,-54.000000
97,-49.000000,-45.000000,-49.000000,-42.000000,-19.000000,-28.000000,-41.000000,-36.000000,-33.000000,-40.000000
98,-35.000000,-35.000000,-27.000000,-22.000000,-62.000000,-43.000000,-44.000000,-152.000000,-25.000000,-25.000000
99,-36.000000,-142.000000,-31.000000,-129.000000,-21.000000,-27.000000,-34.000000,-37.000000,-51.000000,-34.000000
100,-25.000000,-57.000000,-68.000000,-41.000000,-160.000000,-41.000000,-37.000000,-315.000000,-35.000000,-51.000000
101,-31.000000,-124.000000,-24.000000,-57.000000,-43.000000,-36.000000,-43.000000,-31.000000,-36.000000,-24.000000
