episode,q_learning_run_1,q_learning_run_2,q_learning_run_3,q_learning_run_4,q_learning_run_5,q_learning_run_6,q_learning_run_7,q_learning_run_8,q_learning_run_9,q_learning_run_10
50,-50.000000,-96.000000,-41.000000,-59.000000,-48.000000,-55.000000,-25.000000,-193.000000,-188.000000,-293.000000
51,-68.000000,-21.000000,-48.000000,-182.000000,-51.000000,-36.000000,-326.000000,-23.000000,-211.000000,-183.000000
52,-230.000000,-59.000000,-37.000000,-66.000000,-89.000000,-32.000000,-203.000000,-60.000000,-151.000000,-62.000000
53,-150.000000,-48.000000,-189.000000,-59.000000,-38.000000,-57.000000,-49.000000,-36.000000,-60.000000,-40.000000
54,-167.000000,-36.000000,-47.000000,-281.000000,-52.000000,-66.000000,-268.000000,-33.000000,-62.000000,-33.000000
55,-23.000000,-166.000000,-38.000000,-156.000000,-70.000000,-50.000000,-85.000000,-43.000000,-171.000000,-43.000000
56,-61.000000,-54.000000,-181.000000,-44.000000,-23.000000,-46.000000,-421.000000,-57.000000,-269.000000,-206.000000
57,-55.000000,-42.000000,-66.000000,-47.000000,-86.000000,-45.000000,-52.000000,-182.000000,-51.000000,-188.000000
58,-33.000000,-64.000000,-44.000000,-47.000000,-27.000000,-48.000000,-274.000000,-52.000000,-80.000000,-33.000000
59,-196.000000,-207.000000,-60.000000,-48.000000,-28.000000,-516.000000,-42.000000,-739.000000,-24.000000,-47.000000
60,-153.000000,-31.000000,-72.000000,-40.000000,-22.000000,-20.000000,-288.000000,-137.000000,-68.000000,-174.000000
61,-32.000000,-134.000000,-41.000000,-478.000000,-89.000000,-55.000000,-63.000000,-44.000000,-75.000000,-168.000000
62,-44.000000,-47.000000,-39.000000,-39.000000,-138.000000,-64.000000,-25.000000,-25.000000,-42.000000,-34.000000
63,-60.000000,-46.000000,-56.000000,-168.000000,-184.000000,-42.000000,-167.000000,-71.000000,-25.000000,-52.000000
64,-23.000000,-153.000000,-41.000000,-39.000000,-17.000000,-58.000000,-53.000000,-30.000000,-155.000000,-47.000000
65,-151.000000,-28.000000,-38.000000,-70.000000,-41.000000,-158.000000,-285.000000,-401.000000,-37.000000,-25.000000
66,-59.000000,-62.000000,-52.000000,-45.000000,-205.000000,-197.000000,-49.000000,-34.000000,-43.000000,-86.000000
67,-55.000000,-33.000000,-47.000000,-50.000000,-280.000000,-39.000000,-33.000000,-173.000000,-508.000000,-51.000000
68,-50.000000,-66.000000,-38.000000,-36.000000,-204.000000,-421.000000,-156.000000,-34.000000,-36.000000,-31.000000
69,-67.000000,-34.000000,-60.000000,-32.000000,-32.000000,-38.000000,-138.000000,-40.000000,-47.000000,-70.000000
70,-25.000000,-42.000000,-35.000000,-190.000000,-28.000000,-44.000000,-57.000000,-374.000000,-33.000000,-160.000000
71,-30.000000,-155.000000,-52.000000,-39.000000,-70.000000,-50.000000,-24.000000,-156.000000,-55.000000,-36.000000
72,-45.000000,-44.000000,-271.000000,-155.000000,-34.000000,-33.000000,-61.000000,-38.000000,-39.000000,-48.000000
73,-34.000000,-46.000000,-39.000000,-303.000000,-26.000000,-35.000000,-66.000000,-48.000000,-55.000000,-34.000000
74,-38.000000,-49.000000,-35.000000,-33.000000,-35.000000,-402.000000,-28.000000,-27.000000,-62.000000,-35.000000
75,-37.000000,-31.000000,-143.000000,-33.000000,-35.000000,-36.000000,-29.000000,-61.000000,-152.000000,-163.000000
76,-41.000000,-166.000000,-195.000000,-146.000000,-49.000000,-30.000000,-41.000000,-35.000000,-38.000000,-131.000000
77,-28.000000,-29.000000,-36.000000,-137.000000,-46.000000,-36.000000,-37.000000,-283.000000,-19.000000,-150.000000
78,-52.000000,-48.000000,-31.000000,-44.000000,-45.000000,-54.000000,-35.000000,-34.000000,-33.000000,-69.000000
79,-260.000000,-40.000000,-144.000000,-52.000000,-46.000000,-133.000000,-52.000000,-297.000000,-302.000000,-26.000000
80,-56.000000,-69.000000,-42.000000,-278.000000,-51.000000,-392.000000,-20.000000,-40.000000,-34.000000,-50.000000
81,-35.000000,-24.000000,-176.000000,-35.000000,-55.000000,-31.000000,-68.000000,-32.000000,-156.000000,-28.000000
82,-49.000000,-48.000000,-44.000000,-31.000000,-28.000000,-251.000000,-64.000000,-135.000000,-42.000000,-244.000000
83,-47.000000,-19.000000,-143.000000,-178.000000,-34.000000,-181.000000,-19.000000,-49.000000,-21.000000,-34.000000
84,-38.000000,-162.000000,-26.000000,-39.000000,-143.000000,-163.000000,-20.000000,-284.000000,-50.000000,-50.000000
85,-37.000000,-60.000000,-24.000000,-262.000000,-270.000000,-24.000000,-24.000000,-26.000000,-45.000000,-24.000000
86,-30.000000,-270.000000,-147.000000,-21.000000,-36.000000,-26.000000,-69.000000,-47.000000,-46.000000,-51.000000
87,-37.000000,-125.000000,-280.000000,-41.000000,-132.000000,-261.000000,-33.000000,-169.000000,-60.000000,-155.000000
88,-38.000000,-39.000000,-20.000000,-61.000000,-156.000000,-50.000000,-26.000000,-33.000000,-27.000000,-42.000000
89,-47.000000,-49.000000,-39.000000,-126.000000,-179.000000,-21.000000,-35.000000,-27.000000,-28.000000,-35.000000
90,-39.000000,-34.000000,-46.000000,-21.000000,-23.000000,-161.000000,-42.000000,-24.000000,-36.000000,-388.000000
91,-243.000000,-30.000000,-236.000000,-31.000000,-24.000000,-38.000000,-154.000000,-32.000000,-39.000000,-31.000000
92,-28.000000,-18.000000,-139.000000,-42.000000,-36.000000,-39.000000,-159.000000,-30.000000,-131.000000,-59.000000
93,-48.000000,-250.000000,-45.000000,-31.000000,-154.000000,-28.000000,-69.000000,-36.000000,-164.000000,-137.000000
94,-175.000000,-49.000000,-53.000000,-45.000000,-37.000000,-37.000000,-19.000000,-33.000000,-39.000000,-35.000000
95,-31.000000,-51.000000,-28.000000,-28.000000,-39.000000,-20.000000,-30.000000,-28.000000,-30.000000,-36.000000
96,-49.000000,-25.000000,-336.000000,-17.000000,-35.000000,-167.000000,-30.000000,-45.000000,-25.000000,-31.000000
97,-34.000000,-38.000000,-36.000000,-54.000000,-38.000000,-34.000000,-17.000000,-50.000000,-31.000000,-160.000000
98,-31.000000,-36.000000,-36.000000,-28.000000,-34.000000,-25.000000,-54.000000,-162.000000,-168.000000,-161.000000
99,-148.000000,-26.000000,-40.000000,-26.000000,-13.000000,-151.000000,-35.000000,-30.000000,-24.000000,-25.000000
100,-38.000000,-49.000000,-150.000000,-40.000000,-38.000000,-129.000000,-26.000000,-22.000000,-27.000000,-156.000000
101,-32.000000,-168.000000,-23.000000,-46.000000,-154.000000,-316.000000,-33.000000,-32.000000,-37.000000,-29.000000
102,-32.000000,-19.000000,-40.000000,-27.000000,-50.000000,-42.000000,-34.000000,-156.000000,-167.000000,-36.000000
103,-54.000000,-156.000000,-50.000000,-25.000000,-30.000000,-142.000000,-133.000000,-28.000000,-45.000000,-38.000000
104,-26.000000,-23.000000,-36.000000,-34.000000,-136.000000,-129.000000,-31.000000,-260.000000,-33.000000,-128.000000
105,-35.000000,-48.000000,-158.000000,-24.000000,-37.000000,-47.000000,-22.000000,-50.000000,-37.000000,-28.000000
106,-20.000000,-28.000000,-138.000000,-32.000000,-35.000000,-139.000000,-41.000000,-49.000000,-29.000000,-28.000000
107,-286.000000,-27.000000,-32.000000,-27.000000,-23.000000,-24.000000,-52.000000,-44.000000,-161.000000,-32.000000
108,-44.000000,-35.000000,-34.000000,-44.000000,-47.000000,-35.000000,-270.000000,-146.000000,-141.000000,-50.000000
109,-29.000000,-43.000000,-148.000000,-35.000000,-39.000000,-126.000000,-31.000000,-21.000000,-37.000000,-40.000000
110,-49.000000,-41.000000,-29.000000,-35.000000,-34.000000,-28.000000,-25.000000,-38.000000,-40.000000,-156.000000
111,-45.000000,-37.000000,-143.000000,-28.000000,-182.000000,-31.000000,-25.000000,-25.000000,-141.000000,-129.000000
112,-30.000000,-33.000000,-43.000000,-27.000000,-139.000000,-24.000000,-162.000000,-28.000000,-27.000000,-17.000000
113,-136.000000,-21.000000,-23.000000,-47.000000,-16.000000,-131.000000,-140.000000,-40.000000,-25.000000,-40.000000
114,-145.000000,-180.000000,-26.000000,-31.000000,-49.000000,-32.000000,-155.000000,-158.000000,-22.000000,-38.000000
115,-31.000000,-26.000000,-41.000000,-25.000000,-29.000000,-45.000000,-22.000000,-24.000000,-47.000000,-129.000000
116,-138.000000,-44.000000,-36.000000,-29.000000,-136.000000,-266.000000,-39.000000,-163.000000,-21.000000,-30.000000
117,-25.000000,-34.000000,-27.000000,-39.000000,-32.000000,-26.000000,-33.000000,-22.000000,-31.000000,-31.000000
118,-24.000000,-24.000000,-25.000000,-32.000000,-40.000000,-22.000000,-27.000000,-25.000000,-52.000000,-22.000000
119,-24.000000,-154.000000,-38.000000,-21.000000,-53.000000,-44.000000,-14.000000,-33.000000,-29.000000,-34.000000
120,-35.000000,-34.000000,-279.000000,-32.000000,-22.000000,-154.000000,-33.000000,-152.000000,-243.000000,-26.000000
121,-29.000000,-17.000000,-23.000000,-34.000000,-24.000000,-40.000000,-28.000000,-21.000000,-45.000000,-30.000000
122,-35.000000,-14.000000,-142.000000,-29.000000,-40.000000,-34.000000,-156.000000,-32.000000,-34.000000,-31.000000
123,-25.000000,-26.000000,-28.000000,-31.000000,-35.000000,-25.000000,-22.000000,-42.000000,-25.000000,-33.000000
124,-67.000000,-47.000000,-136.000000,-143.000000,-247.000000,-19.000000,-46.000000,-21.000000,-13.000000,-31.000000
125,-18.000000,-55.000000,-21.000000,-42.000000,-30.000000,-128.000000,-31.000000,-143.000000,-141.000000,-30.000000
126,-18.000000,-25.000000,-271.000000,-28.000000,-30.000000,-50.000000,-30.000000,-24.000000,-66.000000,-32.000000
127,-14.000000,-28.000000,-26.000000,-36.000000,-19.000000,-18.000000,-143.000000,-18.000000,-30.000000,-143.000000
128,-29.000000,-32.000000,-33.000000,-27.000000,-31.000000,-30.000000,-38.000000,-42.000000,-22.000000,-131.000000
129,-36.000000,-43.000000,-33.000000,-19.000000,-22.000000,-34.000000,-23.000000,-21.000000,-131.000000,-28.000000
130,-26.000000,-142.000000,-34.000000,-123.000000,-33.000000,-35.000000,-37.000000,-35.000000,-38.000000,-22.000000
131,-48.000000,-38.000000,-141.000000,-26.000000,-153.000000,-42.000000,-48.000000,-286.000000,-30.000000,-19.000000
132,-23.000000,-237.000000,-47.000000,-50.000000,-21.000000,-363.000000,-139.000000,-37.000000,-26.000000,-47.000000
133,-28.000000,-332.000000,-25.000000,-23.000000,-26.000000,-34.000000,-19.000000,-113.000000,-34.000000,-37.000000
134,-128.000000,-30.000000,-26.000000,-35.000000,-259.000000,-17.000000,-18.000000,-37.000000,-21.000000,-134.000000
135,-31.000000,-147.000000,-131.000000,-35.000000,-37.000000,-26.000000,-150.000000,-25.000000,-27.000000,-20.000000
136,-19.000000,-23.000000,-22.000000,-17.000000,-36.000000,-23.000000,-145.000000,-23.000000,-23.000000,-28.000000
137,-29.000000,-38.000000,-35.000000,-34.000000,-137.000000,-28.000000,-22.000000,-22.000000,-25.000000,-28.000000
138,-35.000000,-39.000000,-32.000000,-158.000000,-26.000000,-19.000000,-24.000000,-37.000000,-44.000000,-28.000000
139,-21.000000,-20.000000,-27.000000,-20.000000,-21.000000,-31.000000,-30.000000,-36.000000,-256.000000,-43.000000
140,-31.000000,-22.000000,-26.000000,-37.000000,-27.000000,-22.000000,-32.000000,-20.000000,-31.000000,-29.000000
141,-33.000000,-127.000000,-19.000000,-25.000000,-33.000000,-29.000000,-131.000000,-22.000000,-34.000000,-29.000000
142,-28.000000,-22.000000,-29.000000,-138.000000,-162.000000,-142.000000,-30.000000,-38.000000,-35.000000,-236.000000
143,-27.000000,-21.000000,-141.000000,-165.000000,-129.000000,-13.000000,-134.000000,-137.000000,-27.000000,-19.000000
144,-15.000000,-35.000000,-37.000000,-20.000000,-24.000000,-32.000000,-30.000000,-25.000000,-19.000000,-355.000000
145,-25.000000,-163.000000,-141.000000,-36.000000,-15.000000,-22.000000,-21.000000,-15.000000,-39.000000,-27.000000
146,-45.000000,-147.000000,-253.000000,-22.000000,-25.000000,-19.000000,-30.000000,-35.000000,-25.000000,-26.000000
147,-27.000000,-154.000000,-16.000000,-136.000000,-172.000000,-20.000000,-36.000000,-22.000000,-132.000000,-33.000000
148,-21.000000,-22.000000,-124.000000,-40.000000,-19.000000,-31.000000,-20.000000,-26.000000,-33.000000,-29.000000
149,-26.000000,-31.000000,-154.000000,-21.000000,-144.000000,-160.000000,-26.000000,-21.000000,-20.000000,-22.000000
150,-26.000000,-15.000000,-14.000000,-25.000000,-25.000000,-20.000000,-22.000000,-136.000000,-15.000000,-18.000000
151,-29.000000,-20.000000,-27.000000,-19.000000,-115.000000,-152.000000,-24.000000,-24.000000,-25.000000,-19.000000
152,-23.000000,-31.000000,-33.000000,-18.000000,-24.000000,-23.000000,-236.000000,-161.000000,-44.000000,-28.000000
153,-24.000000,-26.000000,-119.000000,-30.000000,-29.000000,-148.000000,-18.000000,-23.000000,-20.000000,-25.000000
154,-22.000000,-40.000000,-21.000000,-133.000000,-38.000000,-37.000000,-32.000000,-19.000000,-32.000000,-30.000000
155,-170.000000,-21.000000,-42.000000,-30.000000,-27.000000,-13.000000,-30.000000,-37.000000,-20.000000,-26.000000
156,-26.000000,-22.000000,-120.000000,-16.000000,-159.000000,-19.000000,-35.000000,-35.000000,-23.000000,-25.000000
157,-25.000000,-146.000000,-121.000000,-18.000000,-32.000000,-26.000000,-28.000000,-16.000000,-26.000000,-14.000000
158,-118.000000,-139.000000,-150.000000,-249.000000,-18.000000,-27.000000,-19.000000,-19.000000,-19.000000,-37.000000
