episode,q_learning_mean_reward,q_learning_moving_average,q_learning_rolling_std,sarsa_mean_reward,sarsa_moving_average,sarsa_rolling_std
380,-15.600000,-57.580000,71.590316,-28.000000,-24.780000,17.475129
381,-47.500000,-60.930000,73.623141,-17.400000,-24.480000,17.483010
382,-46.300000,-57.550000,64.807013,-18.900000,-24.370000,17.492915
383,-78.700000,-55.160000,59.433502,-18.000000,-24.320000,17.562439
384,-26.100000,-51.180000,57.042799,-18.600000,-22.220000,11.738621
385,-68.000000,-54.300000,62.968081,-18.800000,-21.260000,8.866212
386,-36.000000,-54.220000,63.043002,-19.100000,-20.380000,7.912950
387,-34.700000,-50.920000,61.582432,-18.400000,-19.400000,5.084646
388,-25.300000,-43.510000,54.366391,-17.200000,-19.300000,5.076843
389,-27.700000,-40.590000,55.366667,-17.900000,-19.230000,5.055135
390,-45.800000,-43.610000,56.714968,-17.800000,-18.210000,2.189535
391,-24.500000,-41.310000,50.984071,-18.700000,-18.340000,2.252313
392,-57.500000,-42.430000,55.342979,-17.500000,-18.200000,2.111116
393,-34.700000,-38.030000,49.298145,-18.400000,-18.240000,2.082337
394,-47.200000,-40.140000,53.333808,-20.500000,-18.430000,2.237786
395,-55.500000,-38.890000,49.994602,-29.300000,-19.480000,5.286151
396,-39.400000,-39.230000,48.331396,-19.700000,-19.540000,5.397944
397,-36.600000,-39.420000,47.697139,-19.400000,-19.640000,5.417742
398,-46.000000,-41.490000,48.096887,-19.300000,-19.850000,5.442949
399,-25.300000,-41.250000,48.574320,-39.300000,-21.990000,9.275613
400,-23.800000,-39.050000,47.185026,-31.100000,-23.320000,12.631444
401,-38.800000,-40.480000,46.631057,-17.400000,-23.190000,12.642970
402,-66.700000,-41.400000,48.064584,-30.100000,-24.450000,15.148017
403,-25.000000,-40.430000,45.064232,-29.900000,-25.600000,17.997909
404,-59.400000,-41.650000,50.585978,-18.000000,-25.350000,18.030010
405,-46.200000,-40.720000,46.140831,-30.200000,-25.440000,19.788937
406,-50.000000,-41.780000,48.344015,-37.200000,-27.190000,22.894307
407,-67.100000,-44.830000,54.275271,-38.400000,-29.090000,24.924330
408,-24.100000,-42.640000,49.444284,-18.000000,-28.960000,24.915793
409,-24.400000,-42.550000,52.322751,-17.400000,-26.770000,21.018397
410,-47.400000,-44.910000,54.228732,-29.400000,-26.600000,21.384252
411,-67.700000,-47.800000,58.800529,-18.200000,-26.680000,21.333644
412,-15.800000,-42.710000,56.359968,-19.200000,-25.590000,18.297535
413,-39.000000,-44.110000,55.904204,-19.900000,-24.590000,18.001748
414,-24.600000,-40.630000,49.374643,-17.700000,-24.560000,18.079446
415,-46.300000,-40.640000,44.247963,-18.700000,-23.410000,16.773350
416,-45.600000,-40.200000,44.009197,-28.200000,-22.510000,12.211254
417,-45.800000,-38.070000,48.995135,-18.500000,-20.520000,8.446418
418,-79.800000,-43.640000,51.556894,-17.600000,-20.480000,8.432050
419,-35.500000,-44.750000,53.964019,-18.200000,-20.560000,8.498689
420,-76.800000,-47.690000,57.317131,-27.900000,-20.410000,8.258872
421,-47.300000,-45.650000,51.191208,-18.900000,-20.480000,8.345199
422,-35.700000,-47.640000,51.093186,-27.200000,-21.280000,10.994163
423,-57.600000,-49.500000,54.479697,-18.900000,-21.180000,10.842069
424,-37.800000,-50.820000,54.677801,-19.500000,-21.360000,10.866788
425,-25.500000,-48.740000,50.164673,-37.200000,-23.210000,14.495623
426,-47.300000,-48.910000,48.435244,-17.600000,-22.150000,11.629072
427,-45.900000,-48.920000,53.701695,-32.700000,-23.570000,15.377781
428,-56.900000,-46.630000,51.648803,-27.200000,-24.530000,17.862442
429,-46.900000,-47.770000,52.030055,-18.000000,-24.510000,17.985470
430,-25.800000,-42.670000,49.113620,-17.000000,-23.420000,15.189585
431,-24.500000,-40.390000,48.722849,-18.500000,-23.380000,14.976629
432,-35.700000,-40.390000,51.488069,-18.800000,-22.540000,13.973218
433,-13.700000,-36.000000,47.237860,-27.000000,-23.350000,16.705546
434,-46.800000,-36.900000,47.696535,-18.700000,-23.270000,16.633729
435,-111.400000,-45.490000,58.457466,-19.500000,-21.500000,11.431799
436,-57.100000,-46.470000,56.730454,-18.000000,-21.540000,11.408447
437,-67.300000,-48.610000,61.845296,-27.400000,-21.010000,8.609229
438,-36.100000,-46.530000,55.008791,-17.600000,-20.050000,7.705687
439,-46.300000,-46.470000,54.676942,-37.800000,-22.030000,13.035930
440,-36.300000,-47.520000,58.063360,-18.200000,-22.150000,13.020509
441,-25.100000,-47.580000,58.318762,-27.400000,-23.040000,15.776332
442,-48.400000,-48.850000,59.543185,-18.100000,-22.970000,15.778010
443,-26.200000,-50.100000,59.499509,-18.000000,-22.070000,12.990787
444,-25.300000,-47.950000,58.934368,-27.800000,-22.980000,14.103694
445,-35.400000,-40.350000,48.067154,-17.700000,-22.800000,13.948793
446,-77.500000,-42.390000,48.265074,-29.400000,-23.940000,15.304527
447,-66.600000,-42.320000,42.520462,-18.400000,-23.040000,14.446786
448,-78.000000,-46.510000,52.017046,-18.200000,-23.100000,14.315562
449,-46.300000,-46.510000,55.071448,-40.900000,-23.410000,16.950373
450,-86.700000,-51.550000,59.372319,-18.300000,-23.420000,16.924345
451,-58.200000,-54.860000,62.058873,-18.900000,-22.570000,14.127121
452,-25.700000,-52.590000,59.887362,-19.500000,-22.710000,14.200221
453,-47.000000,-54.670000,61.636479,-18.900000,-22.800000,14.225498
454,-46.300000,-56.770000,61.239721,-17.400000,-21.760000,11.562328
455,-27.600000,-55.990000,60.019152,-28.500000,-22.840000,14.314738
456,-45.400000,-52.780000,58.419083,-16.900000,-21.590000,11.267169
457,-35.400000,-49.660000,57.792994,-40.400000,-23.790000,15.408601
458,-109.700000,-52.830000,59.993511,-18.600000,-23.830000,15.360164
459,-79.700000,-56.170000,66.946915,-17.500000,-21.490000,10.906613
460,-25.100000,-50.010000,61.849638,-17.200000,-21.380000,10.911706
461,-39.000000,-48.090000,62.471878,-28.400000,-22.330000,12.197447
462,-14.800000,-47.000000,59.301773,-17.800000,-22.160000,12.204385
463,-57.300000,-48.030000,63.816480,-26.200000,-22.890000,15.007728
464,-47.200000,-48.120000,65.774822,-17.300000,-22.880000,14.918661
465,-48.800000,-50.240000,63.008042,-27.000000,-22.730000,16.671680
466,-27.700000,-48.470000,60.808567,-28.200000,-23.860000,17.489936
467,-35.200000,-48.450000,60.196413,-17.200000,-21.540000,13.199258
468,-58.400000,-43.320000,55.460600,-18.000000,-21.480000,13.190986
469,-67.500000,-42.100000,48.501174,-18.900000,-21.620000,13.437407
470,-35.500000,-43.140000,49.340559,-18.000000,-21.700000,13.520419
471,-70.300000,-46.270000,53.782808,-20.100000,-20.870000,10.588236
472,-57.100000,-50.500000,55.311571,-17.100000,-20.800000,10.598983
473,-57.700000,-50.540000,53.084511,-18.800000,-20.060000,7.772752
474,-35.800000,-49.400000,51.169549,-28.400000,-21.170000,11.024004
475,-58.500000,-50.370000,57.233289,-17.900000,-20.260000,8.461590
476,-67.700000,-54.370000,61.024193,-18.100000,-19.250000,5.469358
477,-67.600000,-57.610000,62.887921,-40.700000,-21.600000,11.537040
478,-58.100000,-57.580000,67.736081,-16.900000,-21.490000,11.607316
479,-47.400000,-55.570000,66.255195,-29.800000,-22.580000,14.519575
480,-56.300000,-57.650000,70.914215,-18.400000,-22.620000,14.466341
481,-35.700000,-54.190000,66.274553,-17.900000,-22.400000,14.276246
482,-91.600000,-57.640000,73.649267,-28.400000,-23.530000,17.155042
483,-35.100000,-55.380000,74.518118,-17.700000,-23.420000,17.051305
484,-25.300000,-54.330000,75.026730,-17.800000,-22.360000,13.875504
485,-27.300000,-51.210000,71.053862,-18.100000,-22.380000,13.822658
486,-26.000000,-47.040000,65.468612,-18.400000,-22.410000,13.738924
487,-92.600000,-49.540000,66.149296,-17.200000,-20.060000,7.831102
488,-48.000000,-48.530000,62.448969,-27.700000,-21.140000,10.791306
489,-25.400000,-46.330000,61.394685,-17.600000,-19.920000,7.743952
490,-67.900000,-47.490000,59.673211,-27.600000,-20.840000,10.584424
491,-66.300000,-50.550000,60.089298,-29.400000,-21.990000,13.648809
492,-68.600000,-48.250000,55.771297,-18.000000,-20.950000,10.912230
493,-35.300000,-48.270000,56.361427,-28.200000,-22.000000,13.663561
494,-35.700000,-49.310000,56.536161,-18.700000,-22.090000,13.605720
495,-58.500000,-52.430000,58.082283,-17.800000,-22.060000,13.737321
496,-66.800000,-56.510000,60.848731,-28.800000,-23.100000,14.910433
497,-56.100000,-52.860000,54.618440,-18.100000,-23.190000,14.928932
498,-56.400000,-53.700000,51.163121,-27.300000,-23.150000,14.725256
499,-45.900000,-55.750000,51.504792,-18.000000,-23.190000,14.741869
500,-77.200000,-56.680000,48.363353,-27.500000,-23.180000,14.663145
